Èas	SOKP	Gipps	Krauss	KraussOrig	Idm
0:00	6.0	3.0	3.0	3.0	3.0
0:01	3.0	1.0	1.0	1.0	1.0
0:02	2.0	1.0	1.0	1.0	1.0
0:03	1.0	1.0	1.0	1.0	1.0
0:04	1.0	1.0	1.0	1.0	1.0
0:05	1.0	3.0	2.0	2.0	4.0
0:06	5.0	5.0	6.0	6.0	3.0
0:07	5.0	2.0	3.0	3.0	3.0
0:08	3.0	4.0	3.0	3.0	4.0
0:09	2.0	2.0	2.0	2.0	2.0
0:10	1.0	0.0	0.0	0.0	0.0
0:11	2.0	1.0	1.0	1.0	1.0
0:12	0.0	0.0	0.0	0.0	0.0
0:13	0.0	3.0	4.0	4.0	3.0
0:14	5.0	2.0	1.0	1.0	2.0
0:15	1.0	2.0	2.0	2.0	2.0
0:16	1.0	3.0	3.0	3.0	3.0
0:17	3.0	1.0	1.0	1.0	1.0
0:18	1.0	3.0	1.0	1.0	3.0
0:19	3.0	2.0	4.0	4.0	2.0
0:20	2.0	2.0	2.0	2.0	2.0
0:21	2.0	3.0	4.0	4.0	4.0
0:22	4.0	3.0	2.0	2.0	2.0
0:23	2.0	1.0	1.0	1.0	1.0
0:24	2.0	2.0	2.0	2.0	2.0
0:25	1.0	0.0	3.0	3.0	3.0
0:26	4.0	3.0	0.0	0.0	0.0
0:27	1.0	1.0	1.0	1.0	1.0
0:28	0.0	1.0	5.0	5.0	2.0
0:29	5.0	7.0	3.0	3.0	6.0
0:30	3.0	3.0	1.0	1.0	2.0
0:31	4.0	2.0	4.0	4.0	3.0
0:32	0.0	3.0	3.0	3.0	3.0
0:33	3.0	3.0	3.0	3.0	3.0
0:34	2.0	2.0	2.0	2.0	2.0
0:35	2.0	1.0	1.0	1.0	1.0
0:36	1.0	1.0	1.0	1.0	1.0
0:37	1.0	4.0	3.0	3.0	4.0
0:38	3.0	4.0	5.0	5.0	3.0
0:39	3.0	0.0	0.0	0.0	1.0
0:40	1.0	5.0	4.0	4.0	2.0
0:41	6.0	3.0	3.0	3.0	6.0
0:42	1.0	3.0	4.0	4.0	2.0
0:43	3.0	2.0	2.0	2.0	2.0
0:44	3.0	4.0	2.0	1.0	2.0
0:45	3.0	3.0	5.0	6.0	6.0
0:46	3.0	3.0	2.0	2.0	3.0
0:47	2.0	2.0	3.0	3.0	2.0
0:48	2.0	1.0	1.0	1.0	1.0
0:49	2.0	2.0	2.0	2.0	1.0
0:50	2.0	3.0	3.0	3.0	4.0
0:51	3.0	1.0	1.0	1.0	1.0
0:52	1.0	3.0	0.0	0.0	3.0
0:53	3.0	1.0	4.0	4.0	1.0
0:54	2.0	2.0	3.0	3.0	3.0
0:55	3.0	2.0	1.0	1.0	1.0
0:56	1.0	0.0	0.0	0.0	0.0
0:57	0.0	0.0	0.0	0.0	0.0
0:58	0.0	2.0	2.0	2.0	2.0
0:59	3.0	3.0	3.0	3.0	3.0
1:00	2.0	3.0	2.0	2.0	3.0
1:01	4.0	0.0	1.0	1.0	0.0
1:02	0.0	0.0	0.0	0.0	0.0
1:03	0.0	2.0	2.0	2.0	2.0
1:04	2.0	3.0	3.0	3.0	3.0
1:05	3.0	0.0	0.0	0.0	0.0
1:06	0.0	2.0	2.0	2.0	2.0
1:07	2.0	1.0	1.0	1.0	1.0
1:08	1.0	1.0	1.0	1.0	1.0
1:09	1.0	3.0	2.0	2.0	3.0
1:10	3.0	2.0	3.0	3.0	2.0
1:11	2.0	1.0	3.0	3.0	3.0
1:12	3.0	5.0	3.0	3.0	3.0
1:13	3.0	2.0	2.0	2.0	2.0
1:14	2.0	0.0	0.0	0.0	0.0
1:15	0.0	2.0	3.0	3.0	2.0
1:16	1.0	2.0	1.0	1.0	2.0
1:17	3.0	2.0	2.0	2.0	2.0
1:18	1.0	3.0	2.0	2.0	4.0
1:19	4.0	4.0	5.0	5.0	3.0
1:20	3.0	2.0	2.0	2.0	2.0
1:21	3.0	3.0	3.0	3.0	3.0
1:22	3.0	1.0	1.0	1.0	1.0
1:23	1.0	1.0	1.0	1.0	1.0
1:24	1.0	2.0	2.0	2.0	2.0
1:25	1.0	0.0	0.0	0.0	0.0
1:26	1.0	1.0	1.0	1.0	1.0
1:27	0.0	2.0	2.0	2.0	2.0
1:28	3.0	1.0	2.0	2.0	2.0
1:29	3.0	4.0	3.0	3.0	3.0
1:30	5.0	3.0	4.0	4.0	4.0
1:31	2.0	3.0	2.0	2.0	2.0
1:32	2.0	1.0	1.0	1.0	1.0
1:33	1.0	0.0	0.0	0.0	0.0
1:34	0.0	1.0	1.0	1.0	1.0
1:35	1.0	2.0	3.0	3.0	3.0
1:36	3.0	1.0	0.0	0.0	0.0
1:37	2.0	1.0	1.0	1.0	1.0
1:38	0.0	2.0	2.0	2.0	2.0
1:39	2.0	2.0	0.0	0.0	3.0
1:40	2.0	3.0	5.0	5.0	2.0
1:41	3.0	0.0	0.0	0.0	0.0
1:42	0.0	1.0	1.0	1.0	1.0
1:43	1.0	2.0	2.0	2.0	3.0
1:44	3.0	1.0	1.0	1.0	0.0
1:45	1.0	1.0	1.0	1.0	1.0
1:46	0.0	2.0	2.0	2.0	2.0
1:47	2.0	1.0	1.0	1.0	1.0
1:48	0.0	1.0	1.0	1.0	1.0
1:49	2.0	2.0	2.0	2.0	1.0
1:50	2.0	0.0	0.0	0.0	1.0
1:51	1.0	1.0	1.0	1.0	1.0
1:52	0.0	1.0	1.0	1.0	1.0
1:53	2.0	1.0	1.0	1.0	1.0
1:54	1.0	3.0	3.0	3.0	3.0
1:55	3.0	1.0	1.0	1.0	1.0
1:56	1.0	1.0	1.0	1.0	1.0
1:57	1.0	2.0	2.0	2.0	2.0
1:58	1.0	1.0	1.0	1.0	1.0
1:59	2.0	0.0	0.0	0.0	0.0
2:00	0.0	2.0	2.0	2.0	2.0
2:01	2.0	3.0	3.0	3.0	4.0
2:02	3.0	1.0	1.0	1.0	0.0
2:03	1.0	2.0	2.0	2.0	2.0
2:04	2.0	1.0	1.0	1.0	1.0
2:05	0.0	0.0	0.0	0.0	0.0
