Èas	Gipps	Krauss	KraussOrig	Idm
0:00	-7	-7	-7	-7
0:01	0	-1	-1	-1
0:02	0	1	1	1
0:03	-4	-5	-5	-5
0:04	0	1	1	1
0:05	-2	-1	-1	-2
0:06	0	-1	-1	0
0:07	2	3	3	3
0:08	1	-1	-1	-1
0:09	0	1	1	1
0:10	-1	-1	-1	-1
0:11	-3	-3	-3	-3
0:12	-2	-2	-2	-2
0:13	1	1	1	1
0:14	-2	-1	-1	-2
0:15	4	3	3	4
0:16	-2	-2	-2	-2
0:17	-2	-3	-3	-3
0:18	2	3	3	3
0:19	-3	-3	-3	-3
0:20	2	2	2	3
0:21	2	2	2	1
0:22	-3	-3	-3	-3
0:23	3	3	3	3
0:24	-1	-1	-1	-1
0:25	-3	-3	-3	-3
0:26	2	2	2	2
0:27	-1	0	0	0
0:28	0	-1	-1	-1
0:29	-3	-3	-3	-3
0:30	6	6	6	6
0:31	1	1	1	1
0:32	-2	-2	-2	-2
0:33	-1	-1	-1	-1
0:34	0	-1	-1	0
0:35	-1	0	0	-1
0:36	2	2	2	2
0:37	-3	-3	-3	-3
0:38	0	0	0	0
0:39	3	3	3	3
0:40	-1	-1	-1	-1
0:41	-1	-1	-1	-1
0:42	3	3	3	3
0:43	-2	-3	-3	-2
0:44	-1	0	0	-2
0:45	-1	-1	-1	-1
0:46	4	4	4	4
0:47	-2	-2	-2	-1
0:48	0	1	1	0
0:49	-1	-2	-2	0
0:50	-1	0	0	-1
0:51	0	-1	-1	-1
0:52	2	2	2	2
0:53	-2	-2	-2	-2
0:54	3	3	3	3
0:55	-1	-1	-1	-1
0:56	0	0	0	0
0:57	0	0	0	0
0:58	-2	-2	-2	-2
0:59	0	0	0	1
1:00	2	1	1	0
1:01	0	2	2	1
1:02	2	0	0	2
1:03	-4	-3	-3	-4
1:04	-1	-1	-1	-1
1:05	2	2	2	2
1:06	2	2	2	2
1:07	-3	-3	-3	-3
1:08	1	1	1	1
1:09	-1	-1	-1	-1
1:10	1	1	1	1
1:11	1	1	1	1
1:12	0	1	1	0
1:13	2	0	0	1
1:14	-1	-1	-1	0
1:15	-1	0	0	-1
